level,topics_num,S,E,free_energy,Renyi_entropy,levels,alpha,gamma,eta
2,4,-2.719648110253478,0.6008506418111297,11.479443082825043,3.8264810276083474,6,10.0,1.0,0.5
3,14,-4.209048088165971,2.3651007699561992,61.29177400427979,4.71475184648306,6,10.0,1.0,0.5
4,37,-4.642210957232937,2.8621586884117654,174.62396410603043,4.850665669611956,6,10.0,1.0,0.5
5,78,-5.333060060820932,3.7023083615824417,419.68099310561513,5.450402507865132,6,10.0,1.0,0.5
6,171,-5.347948060852075,3.5144687928004505,918.0135871985053,5.40007992469709,6,10.0,1.0,0.5
1,1,-2.4214482014148597,0.10833335563691782,2.5297815570517774,,6,20.0,1.0,1.0
2,3,-2.467743690309078,0.683503143805955,8.08673421473319,4.043367107366595,6,20.0,1.0,1.0
3,6,-3.053849410402221,1.5108499164216467,19.833946378834973,3.9667892757669945,6,20.0,1.0,1.0
4,19,-3.896036601541046,2.431160912621394,76.45585634190127,4.247547574550071,6,20.0,1.0,1.0
5,42,-4.308382075908546,3.03950678611164,183.99155397427057,4.487598877421234,6,20.0,1.0,1.0
6,82,-4.929391011534406,3.537145612886574,407.7472085587078,5.033916155045776,6,20.0,1.0,1.0
1,1,-2.1186292818732966,0.18606800754408448,2.304697289417381,,3,0.5,0.5,1.0
2,3,-3.1613540125214548,1.279413415979263,10.763475453543627,5.381737726771814,3,0.5,0.5,1.0
3,9,-3.4731386582334043,1.5854862866205774,32.843734210721216,4.105466776340152,3,0.5,0.5,1.0
1,1,-2.493144610488943,0.07769282399016303,2.570837434479106,,6,0.5,5.0,0.5
2,16,-2.7992410555955574,1.023219944299325,45.811076833828245,3.054071788921883,6,0.5,5.0,0.5
3,140,-5.491594553956247,3.9059931870622924,772.7292307409369,5.5592030988556616,6,0.5,5.0,0.5
4,467,-6.9727218770693975,5.241930545573204,3261.503047136982,6.998933577547171,6,0.5,5.0,0.5
5,1051,-7.6524912014715225,5.92632199751215,8048.694574744082,7.665423404518173,6,0.5,5.0,0.5
6,1910,-8.799353506586538,7.175560859087931,16813.940758439374,8.807721717359547,6,0.5,5.0,0.5
1,1,-2.045139677598151,0.22940190681438352,2.2745415844125345,,6,10.0,1.0,1.0
2,3,-2.573807579615961,0.6128320546793307,8.334254793527213,4.167127396763607,6,10.0,1.0,1.0
3,6,-3.9326797756144636,2.1548190511173546,25.750897704804135,5.150179540960827,6,10.0,1.0,1.0
4,15,-3.941366587128316,2.187409404358032,61.30790821128278,4.3791363008059125,6,10.0,1.0,1.0
5,39,-4.504182469151671,3.128679771195978,178.79179606811115,4.705047264950293,6,10.0,1.0,1.0
